variant,curve,x,y
with_ttl,precision_recall,1.000000,0.546489
with_ttl,precision_recall,1.000000,0.546503
with_ttl,precision_recall,1.000000,0.546510
with_ttl,precision_recall,1.000000,0.546517
with_ttl,precision_recall,1.000000,0.546524
with_ttl,precision_recall,1.000000,0.546531
with_ttl,precision_recall,1.000000,0.546538
with_ttl,precision_recall,1.000000,0.546588
with_ttl,precision_recall,1.000000,0.546595
with_ttl,precision_recall,1.000000,0.546602
with_ttl,precision_recall,1.000000,0.546616
with_ttl,precision_recall,1.000000,0.546630
with_ttl,precision_recall,1.000000,0.546637
with_ttl,precision_recall,1.000000,0.546644
with_ttl,precision_recall,1.000000,0.546679
with_ttl,precision_recall,1.000000,0.546686
with_ttl,precision_recall,1.000000,0.546694
with_ttl,precision_recall,1.000000,0.546701
with_ttl,precision_recall,1.000000,0.546708
with_ttl,precision_recall,1.000000,0.546715
with_ttl,precision_recall,1.000000,0.546722
with_ttl,precision_recall,1.000000,0.546736
with_ttl,precision_recall,1.000000,0.546743
with_ttl,precision_recall,1.000000,0.546750
with_ttl,precision_recall,1.000000,0.546757
with_ttl,precision_recall,1.000000,0.546764
with_ttl,precision_recall,1.000000,0.546771
with_ttl,precision_recall,1.000000,0.546778
with_ttl,precision_recall,1.000000,0.546800
with_ttl,precision_recall,1.000000,0.546807
with_ttl,precision_recall,1.000000,0.546821
with_ttl,precision_recall,1.000000,0.546828
with_ttl,precision_recall,1.000000,0.546835
with_ttl,precision_recall,1.000000,0.546856
with_ttl,precision_recall,1.000000,0.546863
with_ttl,precision_recall,1.000000,0.546870
with_ttl,precision_recall,1.000000,0.546884
with_ttl,precision_recall,1.000000,0.546892
with_ttl,precision_recall,1.000000,0.546906
with_ttl,precision_recall,1.000000,0.546913
with_ttl,precision_recall,1.000000,0.546927
with_ttl,precision_recall,1.000000,0.546941
with_ttl,precision_recall,1.000000,0.546955
with_ttl,precision_recall,1.000000,0.546962
with_ttl,precision_recall,1.000000,0.546969
with_ttl,precision_recall,1.000000,0.546976
with_ttl,precision_recall,1.000000,0.546991
with_ttl,precision_recall,1.000000,0.547019
with_ttl,precision_recall,1.000000,0.547026
with_ttl,precision_recall,1.000000,0.547033
with_ttl,precision_recall,1.000000,0.547040
with_ttl,precision_recall,1.000000,0.547047
with_ttl,precision_recall,1.000000,0.547054
with_ttl,precision_recall,1.000000,0.547061
with_ttl,precision_recall,1.000000,0.547068
with_ttl,precision_recall,1.000000,0.547083
with_ttl,precision_recall,1.000000,0.547090
with_ttl,precision_recall,1.000000,0.547097
with_ttl,precision_recall,1.000000,0.547104
with_ttl,precision_recall,1.000000,0.547111
with_ttl,precision_recall,1.000000,0.547118
with_ttl,precision_recall,1.000000,0.547125
with_ttl,precision_recall,1.000000,0.547132
with_ttl,precision_recall,1.000000,0.547139
with_ttl,precision_recall,1.000000,0.547153
with_ttl,precision_recall,1.000000,0.547161
with_ttl,precision_recall,1.000000,0.547168
with_ttl,precision_recall,1.000000,0.547175
with_ttl,precision_recall,1.000000,0.547182
with_ttl,precision_recall,1.000000,0.547189
with_ttl,precision_recall,1.000000,0.547196
with_ttl,precision_recall,1.000000,0.547203
with_ttl,precision_recall,1.000000,0.547210
with_ttl,precision_recall,1.000000,0.547217
with_ttl,precision_recall,1.000000,0.547224
with_ttl,precision_recall,1.000000,0.547231
with_ttl,precision_recall,1.000000,0.547238
with_ttl,precision_recall,1.000000,0.547246
with_ttl,precision_recall,1.000000,0.547253
with_ttl,precision_recall,1.000000,0.547260
with_ttl,precision_recall,1.000000,0.547267
with_ttl,precision_recall,1.000000,0.547274
with_ttl,precision_recall,1.000000,0.547281
with_ttl,precision_recall,1.000000,0.547288
with_ttl,precision_recall,1.000000,0.547295
with_ttl,precision_recall,1.000000,0.547302
with_ttl,precision_recall,1.000000,0.547309
with_ttl,precision_recall,1.000000,0.547316
with_ttl,precision_recall,1.000000,0.547323
with_ttl,precision_recall,1.000000,0.547331
with_ttl,precision_recall,1.000000,0.547338
with_ttl,precision_recall,1.000000,0.547352
with_ttl,precision_recall,1.000000,0.547366
with_ttl,precision_recall,1.000000,0.547373
with_ttl,precision_recall,1.000000,0.547387
with_ttl,precision_recall,1.000000,0.547394
with_ttl,precision_recall,1.000000,0.547408
with_ttl,precision_recall,1.000000,0.547416
with_ttl,precision_recall,1.000000,0.547423
with_ttl,precision_recall,1.000000,0.547430
with_ttl,precision_recall,1.000000,0.547437
with_ttl,precision_recall,1.000000,0.547486
with_ttl,precision_recall,1.000000,0.547494
with_ttl,precision_recall,1.000000,0.547501
with_ttl,precision_recall,1.000000,0.547508
with_ttl,precision_recall,1.000000,0.547515
with_ttl,precision_recall,1.000000,0.547522
with_ttl,precision_recall,1.000000,0.547529
with_ttl,precision_recall,1.000000,0.547536
with_ttl,precision_recall,1.000000,0.547543
with_ttl,precision_recall,1.000000,0.547564
with_ttl,precision_recall,1.000000,0.547579
with_ttl,precision_recall,1.000000,0.547586
with_ttl,precision_recall,1.000000,0.547593
with_ttl,precision_recall,1.000000,0.547621
with_ttl,precision_recall,1.000000,0.547650
with_ttl,precision_recall,1.000000,0.547657
with_ttl,precision_recall,1.000000,0.547664
with_ttl,precision_recall,1.000000,0.547671
with_ttl,precision_recall,1.000000,0.547678
with_ttl,precision_recall,1.000000,0.547699
with_ttl,precision_recall,1.000000,0.547721
